fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
Make Hexa Puzzle;puzzle;bitmango;1;1;0;0;1000000;0;4.7;76525;100;20;5;1;2
Triominos;board;goliath bv;1;1;0;0;1000000;0;3.7;4512;100;46;26;19;31
Light House;puzzle;banana development;1;0;0;0;1000000;0;4.7;32719;100;14;3;1;2
Crossword PuzzleLife;word;keesing media group;1;1;0;0;50000;0;4.4;1124;100;69;9;1;4
LogiBrain Grids;word;pijappi;1;0;0;0;50000;0;3.5;571;100;51;65;39;28
OJOO;action;games with attitude;1;0;0;0;10000;0;3.7;186;100;36;5;1;47
Linedoku - Logic Puzzle Games;puzzle;mindmill puzzle games;1;1;0;0;1000000;0;4.3;43011;100;26;11;4;10
Dots: A Game About Connecting;casual;playdots;1;1;0;0;10000000;0;4.1;333846;100;35;19;8;14
That Level Again;puzzle;iamtagir;1;1;0;7;5000000;0;4.8;402233;100;7;1;0;1
Sherlock;adventure;gps play;0;0;0;0;1000;0;4.0;11;100;80;0;20;20
Dungeon Boss � Strategy RPG;role playing;boss fight entertainment;1;1;0;7;5000000;0;4.3;225764;100;18;6;2;12
Kiloblocks Lite;adventure;andrzej chomiak;0;0;0;0;100000000;0;3.9;2076411;100;21;19;8;28
Smoosh!;puzzle;curious  labs;1;0;0;0;50000;0;3.8;227;100;43;18;13;31
Best Sudoku (Free);puzzle;kieter labs;1;1;0;0;1000000;0;4.7;152692;100;23;3;0;2
Guess The Emoji - The ORIGINAL Emoji Quiz Game!;word;random logic games, llc;1;1;0;0;5000000;0;4.5;7715;100;14;7;2;8
Find The Sets - Brain Game;puzzle;bor koek;1;1;0;0;100000;0;4.6;892;100;17;1;2;6
FreeCell;card;karman games;1;1;0;0;1000000;0;4.5;22662;100;33;9;2;4
Word Snake - Word Search Game;word;apptornado games;0;1;0;0;500000;0;4.4;7212;100;17;12;3;7
Whist - Offline;card;unreal games;1;1;0;12;5000;0;3.6;39;100;4;23;28;28
Brain Training;puzzle;app holdings;1;1;0;0;10000000;0;4.4;189117;100;25;9;3;7
Wiezen ictbram;strategy;bram joris;0;0;0;12;1000;0;3.7;30;100;50;14;7;42
Simple Whist - Classic Card Game;card;magmic inc;1;1;0;0;5000;0;3.7;33;100;16;16;5;44
Microsoft Wordament�;word;microsoft corporation;1;1;0;0;1000000;0;4.2;62671;100;17;6;4;17
Space Drive-In;arcade;quick restaurants;0;0;0;0;10000;0;4.3;49;100;5;13;0;13
Florence;puzzle;annapurna interactive;0;0;0;0;50000;2.99;4.7;8613;100;8;3;1;3
Granny;arcade;dvloper;1;1;0;12;100000000;0;4.2;2480965;100;15;8;4;17
Logic Master 1 -  Mind Twist;puzzle;weez beez;1;1;0;0;5000000;0;4.5;192948;100;23;7;2;7
Circuit Scramble - Computer Logic Puzzles;puzzle;suborbital games;0;1;0;0;1000000;0;4.5;9527;100;23;6;4;6
Whist by NeuralPlay;card;neuralplay, llc;1;1;0;0;10000;0;4.3;295;100;41;2;4;10
Kids Balloon Pop Game Free <U+0001F388>;casual;app family kids - games for boys and girls;1;1;0;0;10000000;0;4.4;46233;100;21;10;2;7
Word Shaker Free;word;afksoft;0;1;0;0;1000000;0;4.3;11582;100;53;16;6;6
Lost Island: Blast Adventure;puzzle;plarium global ltd;1;1;0;0;5000000;0;4.5;36261;100;22;8;2;5
Friskies� Cat Fishing;casual;nestl�;0;0;0;0;1000000;0;2.3;9445;43;8;10;7;100
Bingo Holiday: Free Bingo Games;casino;ae magwin: free casino slot machines bingo games;1;1;1;12;1000000;0;4.7;1024;100;16;5;1;2
Squla;educational;squla;1;0;0;0;1000000;0;4.2;19365;100;17;8;4;18
Dr. Panda Restaurant 2;educational;dr. panda;0;0;0;0;100000;4.49;4.2;3847;100;16;8;2;17
Pow;casual;indie boy games;0;1;0;0;50000;0;3.9;964;100;23;23;12;21
Zombie Castaways;simulation;vizor apps ltd.;1;1;0;0;10000000;0;4.6;729147;100;19;7;1;2
Roller Coaster;arcade;ketchapp;1;1;0;0;1000000;0;4.2;1919;100;15;9;5;15
